                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2306,                 1.2555,                 1.3927,                0.81551,                0.78389,                0.86932,                0.55894,                 1.2435,                0.68556,                 1.4344,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.1887,                0.95763,                 1.3512,                0.80523,                0.77274,                 0.8377,                0.53615,                 1.2734,                0.76007,                 1.4934,              0.0066321,              0.0066321,              0.0066321
                      3,                 1.2436,                 1.0596,                 1.3992,                0.80199,                0.75634,                0.83241,                0.52986,                 1.2854,                0.78084,                 1.5012,              0.0098994,              0.0098994,              0.0098994
                      4,                 1.2525,                 1.0883,                   1.42,                0.82679,                0.78484,                0.86283,                0.54915,                 1.2822,                0.74597,                 1.5375,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2182,                 1.0056,                 1.4008,                0.84812,                0.78861,                0.87371,                0.56948,                 1.2582,                0.69446,                 1.5163,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.1961,                 0.9531,                 1.3848,                 0.8492,                0.81629,                0.88364,                0.57992,                 1.2281,                0.65383,                 1.4877,               0.009802,               0.009802,               0.009802
                      7,                 1.1807,                0.91997,                 1.3806,                0.86084,                0.84058,                0.89797,                0.59323,                 1.2374,                0.63363,                 1.5002,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.1656,                0.88872,                 1.3692,                0.87429,                0.82793,                0.89857,                0.60322,                 1.2176,                0.62248,                 1.4656,               0.009703,               0.009703,               0.009703
                      9,                 1.1525,                0.86739,                 1.3619,                0.86297,                 0.8713,                0.91851,                0.62276,                 1.2062,                0.59325,                 1.4953,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1481,                0.84959,                 1.3602,                0.89587,                0.86466,                0.91824,                0.62219,                 1.1949,                0.57913,                 1.4635,               0.009604,               0.009604,               0.009604
                     11,                 1.1369,                0.83582,                 1.3541,                0.88662,                0.86095,                0.92383,                0.62379,                 1.1991,                0.56516,                 1.4741,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.1336,                0.81758,                 1.3497,                0.89898,                0.85591,                0.92776,                0.63285,                 1.1963,                0.55085,                 1.4764,               0.009505,               0.009505,               0.009505
                     13,                  1.124,                0.80482,                 1.3499,                0.89703,                0.86934,                0.93013,                0.63559,                 1.1953,                0.54448,                 1.4757,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.1209,                0.79534,                 1.3476,                0.88961,                0.88267,                0.92796,                0.63342,                 1.1968,                0.54039,                 1.4691,               0.009406,               0.009406,               0.009406
                     15,                 1.1159,                0.78721,                 1.3445,                0.88923,                0.87504,                0.92372,                0.63059,                 1.1948,                0.54555,                 1.4723,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.1127,                0.77398,                 1.3455,                0.89527,                0.87428,                0.92457,                0.63018,                 1.1963,                0.54009,                 1.4857,               0.009307,               0.009307,               0.009307
                     17,                 1.1093,                 0.7707,                 1.3433,                0.90487,                 0.8917,                0.93781,                0.64291,                 1.1901,                0.51483,                 1.4832,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.1016,                0.75616,                 1.3386,                0.89329,                0.89596,                 0.9376,                0.64133,                 1.1978,                0.51798,                 1.4804,               0.009208,               0.009208,               0.009208
                     19,                 1.1021,                0.75606,                 1.3424,                0.91108,                0.88841,                0.93511,                 0.6427,                 1.1912,                0.50935,                 1.4905,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.0953,                0.74221,                 1.3386,                0.91817,                0.87237,                0.93797,                0.64522,                 1.1911,                0.50669,                 1.4893,               0.009109,               0.009109,               0.009109
                     21,                 1.0932,                0.74112,                  1.339,                0.93177,                 0.8599,                0.93666,                0.64493,                 1.1918,                0.50834,                 1.4867,              0.0090595,              0.0090595,              0.0090595
                     22,                   1.09,                0.73494,                  1.333,                0.89774,                0.87587,                 0.9353,                 0.6445,                 1.1849,                0.50233,                 1.4771,                0.00901,                0.00901,                0.00901
                     23,                  1.085,                0.72505,                 1.3317,                0.89451,                0.88883,                0.93743,                0.64959,                 1.1825,                0.50329,                 1.4794,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.0833,                0.72312,                 1.3332,                0.89843,                0.88877,                0.94303,                0.65491,                 1.1838,                0.50054,                 1.4848,               0.008911,               0.008911,               0.008911
                     25,                 1.0815,                 0.7199,                 1.3306,                0.89827,                0.89725,                 0.9429,                0.65376,                 1.1863,                0.49561,                  1.487,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.0746,                0.71479,                  1.329,                0.90416,                0.89937,                0.94309,                0.65393,                 1.1881,                0.49521,                 1.4889,               0.008812,               0.008812,               0.008812
                     27,                 1.0734,                0.70872,                 1.3282,                0.90481,                0.89303,                0.94256,                0.65456,                 1.1881,                0.49366,                 1.4881,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.0717,                0.70353,                 1.3254,                0.91176,                0.89036,                0.94283,                0.65518,                 1.1881,                0.49139,                 1.4877,               0.008713,               0.008713,               0.008713
                     29,                 1.0688,                0.70253,                 1.3255,                0.90982,                0.89514,                0.94395,                 0.6551,                 1.1867,                0.48995,                 1.4874,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.0626,                0.69546,                 1.3235,                0.91578,                 0.8881,                 0.9437,                0.65275,                  1.187,                 0.4911,                 1.4887,               0.008614,               0.008614,               0.008614
                     31,                 1.0629,                0.69136,                 1.3241,                0.91276,                0.89414,                 0.9442,                0.65425,                 1.1861,                0.49038,                 1.4893,              0.0085645,              0.0085645,              0.0085645
                     32,                  1.057,                0.68752,                 1.3158,                0.90987,                0.89405,                0.94526,                 0.6561,                  1.187,                0.48872,                 1.4901,               0.008515,               0.008515,               0.008515
                     33,                 1.0564,                0.68203,                 1.3185,                0.91735,                0.88841,                0.94449,                0.65751,                 1.1869,                0.48881,                 1.4907,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.0511,                0.67884,                 1.3184,                0.91739,                0.88874,                0.94372,                0.65692,                 1.1867,                0.48848,                 1.4912,               0.008416,               0.008416,               0.008416
                     35,                 1.0509,                0.67399,                 1.3141,                0.91412,                0.89012,                0.94307,                0.65543,                 1.1861,                0.48874,                  1.491,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0453,                  0.675,                 1.3141,                0.91555,                0.89071,                0.94287,                0.65746,                 1.1867,                0.48817,                 1.4928,               0.008317,               0.008317,               0.008317
                     37,                 1.0445,                0.66809,                 1.3149,                0.93476,                0.87191,                 0.9435,                0.65751,                 1.1862,                0.48897,                 1.4934,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0391,                0.66189,                 1.3143,                0.93343,                0.87325,                0.94321,                0.65754,                 1.1866,                0.48872,                 1.4948,               0.008218,               0.008218,               0.008218
                     39,                 1.0401,                0.66407,                 1.3145,                0.92133,                0.88586,                  0.942,                0.65485,                 1.1871,                0.48809,                 1.4968,              0.0081685,              0.0081685,              0.0081685
