                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2854,                 1.4462,                 1.4473,                0.84927,                0.69497,                0.81437,                0.51991,                 1.2516,                0.78362,                 1.4407,              0.0033283,              0.0033283,              0.0033283
                      2,                 1.2106,                 1.0185,                 1.3571,                0.74884,                0.74777,                0.79972,                0.49049,                 1.3184,                0.82619,                 1.5158,              0.0066287,              0.0066287,              0.0066287
                      3,                 1.2694,                 1.1153,                 1.4067,                0.66789,                0.72294,                0.74432,                0.45568,                 1.3654,                0.92009,                 1.5839,               0.009896,               0.009896,               0.009896
                      4,                 1.2936,                 1.1829,                 1.4372,                0.79397,                0.70496,                0.79459,                0.48692,                 1.3222,                0.91716,                 1.5615,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2738,                 1.1307,                 1.4324,                0.78447,                0.72608,                0.80099,                0.50293,                 1.3183,                0.86587,                 1.5625,              0.0098515,              0.0098515,              0.0098515
                      6,                  1.259,                 1.0823,                  1.419,                0.81165,                0.70243,                0.80525,                0.50458,                 1.3463,                0.82805,                 1.5847,               0.009802,               0.009802,               0.009802
                      7,                 1.2473,                  1.048,                 1.4115,                 0.7729,                0.75833,                0.82894,                0.52653,                 1.3034,                0.78124,                 1.5551,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.2309,                 1.0194,                 1.4038,                0.78995,                0.79801,                0.84757,                0.54973,                 1.2577,                0.74913,                 1.5049,               0.009703,               0.009703,               0.009703
                      9,                 1.2126,                0.97928,                 1.3957,                0.83653,                0.77017,                0.85162,                0.54751,                 1.2693,                0.76149,                 1.5365,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2029,                0.97057,                 1.3952,                0.80876,                0.79772,                0.86214,                0.55972,                 1.2651,                0.70592,                 1.5165,               0.009604,               0.009604,               0.009604
                     11,                 1.2008,                0.94712,                 1.3857,                0.85417,                0.76566,                0.86167,                0.56116,                 1.2673,                0.72161,                 1.5166,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.1947,                 0.9273,                 1.3844,                0.81223,                0.81572,                0.86201,                 0.5614,                 1.2558,                0.70294,                 1.5127,               0.009505,               0.009505,               0.009505
                     13,                 1.1852,                 0.9222,                 1.3804,                0.88832,                0.79389,                0.88083,                0.57957,                 1.2315,                0.68158,                 1.5002,              0.0094555,              0.0094555,              0.0094555
                     14,                  1.178,                0.90261,                 1.3772,                0.85169,                0.78632,                0.87715,                0.57861,                 1.2233,                0.66702,                 1.4824,               0.009406,               0.009406,               0.009406
                     15,                 1.1764,                0.89686,                 1.3835,                0.83484,                0.84263,                0.90003,                0.59595,                 1.2091,                0.64726,                 1.4861,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.1652,                0.88105,                 1.3761,                 0.8485,                0.81906,                0.88828,                0.58867,                 1.2356,                0.64191,                 1.5078,               0.009307,               0.009307,               0.009307
                     17,                 1.1626,                0.87768,                 1.3753,                0.85055,                 0.8217,                0.88152,                0.58416,                 1.2358,                0.64538,                 1.5148,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.1599,                0.86831,                 1.3726,                0.88829,                0.81344,                0.89489,                0.58679,                 1.2315,                0.63202,                 1.5063,               0.009208,               0.009208,               0.009208
                     19,                 1.1539,                0.85424,                 1.3678,                0.89323,                0.82159,                0.89876,                0.60038,                 1.2246,                0.62244,                 1.5007,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.1453,                0.84119,                 1.3662,                0.82964,                0.86606,                0.90132,                0.59812,                 1.2354,                0.62259,                 1.5048,               0.009109,               0.009109,               0.009109
                     21,                 1.1462,                0.83837,                 1.3638,                0.86782,                0.83905,                0.89952,                0.60601,                 1.2098,                0.62685,                 1.5056,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.1457,                0.83562,                 1.3725,                0.83778,                0.83962,                0.89795,                0.59647,                 1.2279,                0.63281,                 1.5037,                0.00901,                0.00901,                0.00901
                     23,                 1.1399,                0.82265,                 1.3569,                0.88255,                0.80667,                0.90467,                0.60362,                 1.2251,                0.62852,                 1.5054,              0.0089605,              0.0089605,              0.0089605
                     24,                  1.134,                0.81412,                 1.3624,                0.91283,                0.82195,                 0.9187,                0.61037,                 1.2194,                0.59531,                 1.5065,               0.008911,               0.008911,               0.008911
                     25,                 1.1385,                0.80568,                 1.3572,                0.88395,                0.81217,                0.90484,                0.61004,                 1.2246,                0.60779,                 1.5042,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.1307,                 0.8077,                 1.3602,                0.86651,                0.85361,                0.90386,                0.60241,                 1.2137,                0.60079,                 1.4884,               0.008812,               0.008812,               0.008812
                     27,                 1.1276,                0.80188,                 1.3559,                0.85048,                0.85695,                0.90591,                0.61017,                 1.2012,                0.58989,                 1.4919,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.1276,                0.79537,                 1.3536,                0.87991,                0.83695,                0.91279,                0.60764,                 1.2175,                0.59001,                 1.5018,               0.008713,               0.008713,               0.008713
                     29,                 1.1242,                0.79659,                 1.3559,                0.91386,                0.80511,                0.91042,                 0.6188,                    1.2,                 0.5795,                 1.4899,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.1284,                0.78611,                 1.3572,                0.88563,                0.82971,                0.90257,                0.60323,                 1.2108,                0.58632,                 1.5037,               0.008614,               0.008614,               0.008614
                     31,                 1.1175,                0.78198,                 1.3512,                0.89119,                0.83707,                0.90875,                0.61049,                 1.2176,                  0.584,                 1.5049,              0.0085645,              0.0085645,              0.0085645
                     32,                  1.118,                0.77448,                 1.3516,                 0.8896,                0.83083,                 0.9108,                0.60895,                 1.2125,                 0.5905,                 1.4986,               0.008515,               0.008515,               0.008515
                     33,                 1.1211,                0.77119,                 1.3498,                0.89654,                 0.8518,                0.91565,                0.61964,                 1.2094,                0.56911,                 1.4985,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.1156,                0.77135,                 1.3502,                0.87627,                0.84978,                 0.9142,                0.61481,                  1.207,                0.58247,                 1.4932,               0.008416,               0.008416,               0.008416
                     35,                 1.1133,                0.76362,                 1.3501,                0.86614,                0.86878,                0.91647,                0.62279,                 1.2105,                0.56504,                 1.5073,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.1152,                0.76652,                 1.3535,                0.87202,                0.86243,                0.92059,                0.62342,                 1.1998,                0.56749,                 1.5086,               0.008317,               0.008317,               0.008317
                     37,                 1.1056,                0.75838,                 1.3521,                0.90093,                0.86416,                0.92399,                0.62258,                 1.2086,                0.55666,                  1.501,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.1043,                 0.7602,                 1.3454,                0.89556,                0.86931,                0.91753,                0.61833,                 1.2032,                0.55838,                 1.5019,               0.008218,               0.008218,               0.008218
                     39,                 1.1048,                0.75154,                 1.3385,                0.88596,                0.86394,                0.91893,                0.62221,                 1.2086,                 0.5649,                 1.4974,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0962,                0.74021,                 1.3421,                0.89808,                0.84715,                0.92299,                0.63112,                 1.1926,                0.55035,                 1.4949,               0.008119,               0.008119,               0.008119
                     41,                 1.0978,                0.74577,                 1.3468,                0.90734,                0.84795,                0.92243,                0.63117,                  1.192,                0.54581,                 1.4878,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.0934,                0.74064,                 1.3444,                0.88444,                0.87611,                0.93116,                0.64029,                 1.1892,                0.54013,                 1.4962,                0.00802,                0.00802,                0.00802
                     43,                 1.0986,                0.73279,                 1.3419,                0.89752,                0.86775,                0.92975,                0.63681,                 1.1945,                0.53941,                 1.4954,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.0983,                 0.7305,                 1.3418,                0.88789,                0.85524,                 0.9221,                0.62598,                 1.2028,                0.54285,                 1.5039,               0.007921,               0.007921,               0.007921
                     45,                 1.0911,                0.73442,                 1.3396,                0.89435,                0.86041,                0.92363,                0.63471,                 1.1867,                0.53882,                 1.4858,              0.0078715,              0.0078715,              0.0078715
                     46,                   1.09,                0.73034,                 1.3406,                0.89594,                0.87146,                0.92947,                  0.638,                 1.1933,                 0.5393,                 1.5022,               0.007822,               0.007822,               0.007822
                     47,                  1.093,                0.72144,                 1.3356,                0.88575,                0.85717,                0.91764,                0.62366,                 1.2025,                0.54158,                 1.5068,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0887,                0.71745,                 1.3393,                0.90119,                 0.8423,                0.91765,                0.62673,                 1.2048,                0.54716,                 1.5099,               0.007723,               0.007723,               0.007723
                     49,                 1.0912,                0.71525,                  1.339,                0.88299,                0.86062,                0.91924,                0.63156,                 1.1885,                 0.5357,                 1.4916,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0904,                0.71175,                  1.337,                0.90517,                0.86103,                0.92718,                0.63635,                 1.1941,                0.52781,                 1.5017,               0.007624,               0.007624,               0.007624
                     51,                  1.082,                0.70275,                 1.3335,                 0.8918,                0.86466,                0.92437,                0.63029,                 1.1985,                0.53483,                 1.5065,              0.0075745,              0.0075745,              0.0075745
                     52,                  1.079,                0.71045,                 1.3349,                0.89504,                0.85748,                0.93078,                0.63618,                 1.2018,                0.52916,                 1.5083,               0.007525,               0.007525,               0.007525
                     53,                 1.0849,                0.70495,                 1.3379,                0.90212,                0.85376,                0.93251,                0.63918,                 1.2001,                0.52441,                 1.5096,              0.0074755,              0.0074755,              0.0074755
                     54,                  1.073,                0.69814,                 1.3301,                0.90223,                 0.8741,                0.93628,                0.63665,                 1.2017,                0.51997,                 1.5104,               0.007426,               0.007426,               0.007426
                     55,                  1.079,                 0.7006,                 1.3317,                0.90772,                0.86356,                0.93516,                0.64001,                 1.1943,                 0.5178,                 1.4988,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.0728,                0.69529,                 1.3301,                0.89741,                0.88191,                0.93349,                0.63976,                 1.1876,                0.51932,                 1.4957,               0.007327,               0.007327,               0.007327
                     57,                 1.0735,                0.70092,                 1.3285,                0.89933,                0.87927,                0.93819,                0.63901,                 1.1898,                0.51812,                 1.4931,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.0662,                0.68328,                 1.3226,                0.92213,                0.85531,                0.94153,                0.64611,                 1.1863,                0.51694,                 1.4934,               0.007228,               0.007228,               0.007228
                     59,                 1.0688,                0.68861,                 1.3274,                0.91488,                0.86969,                0.93783,                0.64782,                 1.1827,                0.51633,                 1.4918,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.0701,                0.68773,                 1.3275,                0.91595,                0.85556,                0.92976,                   0.64,                 1.1822,                0.52384,                 1.4922,               0.007129,               0.007129,               0.007129
                     61,                 1.0665,                0.68063,                  1.327,                0.91841,                0.86486,                0.93339,                0.64334,                 1.1833,                0.51909,                 1.4959,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.0607,                0.67414,                 1.3223,                0.90962,                0.86109,                0.93604,                0.64048,                 1.1853,                0.51292,                 1.4976,                0.00703,                0.00703,                0.00703
                     63,                 1.0596,                 0.6813,                 1.3179,                 0.9159,                0.87448,                0.93685,                0.64461,                 1.1908,                0.51183,                 1.4962,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.0654,                0.68059,                  1.326,                0.91319,                0.86192,                0.93329,                0.64449,                 1.1902,                0.51723,                 1.4982,               0.006931,               0.006931,               0.006931
                     65,                 1.0608,                0.67605,                 1.3247,                0.90616,                0.86528,                0.93408,                0.64443,                 1.1922,                0.51595,                 1.5021,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.0551,                0.66864,                 1.3219,                0.90717,                0.87874,                0.93834,                0.64721,                 1.1908,                0.51254,                 1.5055,               0.006832,               0.006832,               0.006832
                     67,                 1.0577,                0.67038,                 1.3168,                0.91487,                0.87815,                0.93871,                0.64649,                 1.1907,                0.50887,                 1.5026,              0.0067825,              0.0067825,              0.0067825
